Name,,robot type,category,full head,screen type,mouth,nose,eyebrows,cheeks (blush),hair,ears,physical features,robot height,embodiment,face color,face turns other colors,face gradient to,face shape,screen size,head motion,face motion,info display,eye color,eye outline color,eye turns other colors (inside),eye shape,eye turns other shapes (exclude blink),pupil (y/n),pupil color,lid,lid color,iris,iris color,lashes color,lash shape,reflected glare color,# glare circles,blink type,"pupil
shapes",eye motion,"pupil and/or
iris motion",glare motion,wink,eye size,eye placement,eye spacing,mouth color (or outline color),mouth inside color,mouth shape,lips,tongue,teeth shape,mouth motion,mouth length,mouth placement,nose color,nose shape,nose 3d,nose size,nose placement,nose motion,eyebrow color,eyebrow shape,eyebrow inner edge positions,eyebrow independent motion,eyebrow motion,eyebrow length,eyebrow arch,cheek color,cheek shape,cheek size,cheek placement,cheek spacing,hair color,country/region of origin,year
Ada (1),31,humanoid,research,x,blcd,x,y,x,y,x,x,x,med,torso (on pole),white,x,x,rectangle - horiz,small,x,none,x,white,black,x,vert oval,x,y,black,x,x,y,blue,black,line,white,3,no data,vert oval,none,,none,x,dom,cen,medium,x,x,x,x,x,x,none,x,x,black,nub,x,small,up,none,x,x,x,x,none,x,x,blue,crescent,small,up,cen,x,USA,2015
Aijia Pro,31,humanoid,home,x,smart,y,x,x,y,x,x,x,ground,upright mobile cylinder,black,x,x,circle,med,none,none,x,white,white,"red, purple, dark blue, green",circle,heart,y,blue,x,x,x,x,x,x,white,1,x,oval,resize,"lr, ud, app/dis",none,y,pro,cen,medium,blue,blue,smile,x,x,x,none,short,up,x,x,x,x,x,none,x,x,x,x,none,x,x,pink,blush,,up,cen,x,Australia,2016
Baxter (6),31,humanoid,research,x,touch,y,x,x,x,x,x,x,high,torso (on platform),white,no data,x,rectangle - horiz,small,"x,y",no data,no data,white,black,no data,circle,no data,y,black,y,white,y,blue,black,crescent,x,x,no data,circle,no data,no data,no data,no data,small,raise,medium,black,x,smile,x,x,x,no data,long,down,x,x,x,x,x,none,x,x,x,x,no data,x,x,x,x,x,x,x,x,USA,2014
Dinsow,31,humanoid,healthcare,x,blcd,x,x,y,x,x,x,"ears, nose",med,full robot body,blue,x,x,rectangle - horiz,med,"x,y",none,"IF, display, tele",white,x,no data,vert oval,x,y,black,y,gray,y,brown,black,line,white,2,lid down,oval,none,app/dis,none,x,pro,low,wide,x,x,x,x,x,x,none,x,x,x,x,x,x,x,none,black,thin inside wide outside,flat,x,ud,long,small,x,x,x,x,x,x,Thailand,2014
QTrobot,31,humanoid,service,x,blcd,y,x,y,x,x,x,x,ground,full robot body,white,x,dark blue,rectangle - horiz,med,"x, y, z",none,x,black,x,x,vert oval,downward curves,y,dark blue,x,x,x,x,x,x,light blue,2,slit,vert oval,up,x,x,x,small,cen,wide,black,black,crescent,black,blue,human,"ud, height, width",short,down,x,x,x,x,x,none,black,arched (center),flat,x,ud,short,small,x,x,x,x,x,x,Luxembourg,2017
YYD Robot Xiaoyong,31,humanoid,home,x,smart,y,x,y,x,x,x,x,ground,tabletop,black,x,x,rounded rectangle - horiz,med,"x, y",none,"speech[above mouth], dis,
tele",blue,x,x,circle,x,y,black,x,x,x,x,blue,line below eye,white,3,><,circle,resize,none,none,x,pro,raise,medium,blue,blue,crescent,x,x,x,resize,short,med,x,x,x,x,x,none,blue,arched (center),"down, flat, up",x,"flip, resize, lr",short,small,x,x,x,x,x,x,China,2015
Honeybot,32,humanoid,educational,x,touch,y,x,y,x,x,x,x,ground,full robot body,white,x,gray,rounded rectangle - horiz,large,none,none,dis,black,white,x,circle,x,x,x,x,x,y,white,x,x,white,1,no data,circle,none,none,none,x,pro,cen,medium,gray,x,crescent,x,x,x,none,med,cen,x,x,x,x,x,none,black,arched (center),down,x,none,med,small,x,x,x,x,x,x,China,2016
JULIA (1),32,humanoid,home,x,blcd,x,x,y,y,x,x,x,low,full robot body,pink,x,x,rectangle - horiz,small,x,none,"chest, chest
tele",white,x,x,circle,x,y,black,x,x,x,x,black,2 lines in corner,x,x,down,circle,none,none,none,x,pro,up,close,brown,x,crescent,x,x,x,none,short,cen,x,x,x,x,x,none,brown,arched (center),flat,x,none,med,x,red,blush,x,up,wide,x,Taiwan,2012
Leka,32,mechanical,home,x,blcd,y,x,x,y,x,x,x,ground,tabletop,white,blue,x,square,med,none,none,dis,black,x,x,circle,crescent,y,white,x,x,x,x,x,x,white,2,x,circle,none,none,none,no data,pro,cen,wide,black,black,half circle,x,x,x,none,short,up,x,x,x,x,x,none,x,x,x,x,none,x,x,pink,oval,x,up,cen,x,France,2015
Baxter (9),33,humanoid,research,x,touch,x,x,y,x,x,x,x,high,torso (on platform),blue,no data,white,rectangle - horiz,small,"x,y",no data,no data,white,black,no data,horiz oval,no data,y,blue,no data,no data,x,x,x,x,x,x,no data,circle,no data,no data,x,no data,small,cen,medium,x,x,crescent,x,x,x,none,x,x,x,x,x,x,x,none,black,horiz oval,flat,x,no data,long,small,x,x,x,x,x,x,USA,2015
Haibao,33,humanoid,service,x,blcd,y,x,x,x,x,x,"hair, ears",med,upright - mobile,blue,black,x,rectangle - horiz,small,y,none,chest,white,black,x,vert oval,x,y,black,y,blue,x,x,x,x,white,1,lid down,circle,"resize, dist",resize,app/dis,x,dom,raise,close,white,black,crescent,x,blue,x,none,long,cen,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,China,2010
LDRIC,33,mechanical,entertainment,x,blcd,y,x,x,x,x,x,x,high,on mobile platform,blue,x,dark blue,square,small,x,none,x,white,gray,x,circle,x,y,black,y,gray,y,blue,x,x,white,1,lid down,circle,"resize, z","lr, ud",none,no data,pro,raise,close,black,black,crescent,x,x,single rect,resize,med,cen,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,USA,2016
Baxter (13),34,humanoid,research,x,touch,y,x,y,x,x,x,x,high,torso (on platform),blue,no data,x,rectangle - horiz,small,"x,y",none,no data,black,x,x,vert oval,no data,y,white,x,x,x,x,x,x,x,x,no data,vert oval,x,no data,x,x,small,up,close,black,white,crescent,x,x,x,no data,long,down,x,x,x,x,x,none,black,arched (center),"down, flat, up",no data,none,long,med,x,x,x,x,x,x,USA,2015
Baxter (2),34,humanoid,research,x,touch,x,x,y,x,x,x,x,high,torso (on platform),white,red ,x,rectangle - horiz,small,"x,y",none,"corner, toolbar [left]",white,black,no data,horiz oval,x,y,black,y,white,y,blue,x,x,x,x,x,circle,z,"lr, ud",none,x,pro,cen,medium,x,x,x,x,x,x,none,x,x,x,x,x,x,x,none,black,arched (center),"down, flat, up",y,"ud, twist",med,small,x,x,x,x,x,x,USA,2012
Lisa,34,mechanical,research,x,blcd,y,x,y,x,x,x,x,med,upright mobile rectangle,white,x,x,rectangle - vert,small,none,z,x,black,x,x,circle,x,y,white,x,x,x,x,black,upturn lines in corner,x,x,slit,circle,none,none,none,x,small,up,wide,black,black,line,x,x,x,"width, height",med,down,x,x,x,x,x,none,black,arched (inside edge),"down, flat, up",x,"ud, twist",med,small,x,x,x,x,x,x,Germany,2015
Roby,34,mechanical,educational,x,touch,x,x,x,x,x,x,x,ground,upright mobile rectangle,white,x,x,rectangle - horiz,med,none,none,toolbar[above],white,black,"purple, blue",horiz oval,x,y,black,y,white,x,x,black,vert lines,white,1,lid wipe up,circle,none,none,none,x,pro,raise,wide,x,x,x,x,x,x,none,x,x,x,x,x,x,x,none,black,arched (center),down,x,none,med,small,x,x,x,x,x,x,USA,2015
Smart Pet,34,zoomorphic,entertainment,x,smart,y,y,x,x,x,x,ears,ground,on a mobile dog body,white,x,blue,rectangle - vert,med,z,"ud, lr","smart, dis",black,x,x,vert oval,icons,x,x,x,x,x,x,x,x,x,x,slit,x,ud,none,none,x,pro,up,wide,black,red,line,black,red,x,ud,med,down,black,rounded triangle,x,small,cen,ud,x,x,x,x,none,x,x,x,x,x,x,x,x,Japan,2012
Yumi (omate),34,humanoid,home,x,touch,y,x,y,x,x,x,x,ground,tabletop,black,x,x,rounded rectangle - horiz,med,none,none,dis,blue,x,x,circle,x,y,black,x,x,x,x,x,x,white,3,slit,vert oval,none,none,none,x,pro,cen,medium,blue,x,crescent,x,x,x,none,short,down,x,x,x,x,x,none,blue,arched (center),up,x,none,short,med,x,x,x,x,x,x,China,2017
Baxter,35,humanoid,industrial,x,touch,x,x,y,x,x,x,x,high,torso (on platform),white,red ,x,rectangle - horiz,small,"x,y",none,"corner, toolbar [left]",white,black,x,horiz oval,x,y,black,y,white,y,gray,x,x,x,x,x,circle,z,"lr, ud",none,x,pro,cen,medium,x,x,x,x,x,x,none,x,x,x,x,x,x,x,none,black,arched (center),"down, flat, up",y,"ud, twist",med,small,x,x,x,x,x,x,USA,2012
Baxter (10),35,humanoid,research,x,touch,y,x,x,y,x,x,x,high,torso (on platform),white,x,x,rectangle - horiz,small,"x,y",none,no data,white,black,x,vert oval,x,y,black,x,x,x,x,x,x,x,x,x,circle,x,x,x,x,pro,raise,medium,black,x,squiggley line,x,x,x,no data,short,down,x,x,x,x,x,none,black,line,flat,x,no data,long,x,pink,circle,small,down,close,x,USA,2015
